Date Sampled,Address,Coordinates,1st Draw,2-3 Minute,5 Minute
10/16/2019,1000XX S OAKLEY AVE,"[-87.6809312, 41.7737953]",3,10,9.6
2/23/2019,100XX S ARTESIAN AVE,"[-87.6833388, 41.7117377]",9.2,4.3,2.5
5/3/2019,100XX S ARTESIAN AVE,"[-87.6833388, 41.7117377]",1.1,2.9,1.3
5/5/2019,100XX S ARTESIAN AVE,"[-87.6833388, 41.7117377]",1.2,2.6,< 1
11/30/2021,100XX S AVENUE L ,"[-87.5367684, 41.7136947]",3.6,16,4.6
5/23/2020,100XX S AVENUE M,"[-87.5380139, 41.7137099]",3.9,2.5,1.7
4/23/2018,100XX S BELL AVE,"[-87.678589, 41.7117226]",1.7,3.4,1.6
3/6/2019,100XX S BELL AVE,"[-87.678589, 41.7117226]",1.4,1.9,< 1
4/28/2019,100XX S BELL AVE,"[-87.678589, 41.7117226]",23,4.3,<1
8/23/2019,100XX S BELL AVE,"[-87.678589, 41.7117226]",4,5.8,2.6
9/4/2019,100XX S BELL AVE,"[-87.678589, 41.7117226]",See Follow-Up Sequential Sampling Table for Results,,
9/26/2019,100XX S BELL AVE,"[-87.678589, 41.7117226]",2.3,5,3.6
11/7/2020,100XX S BELL AVE,"[-87.678589, 41.7117226]",1.8,1.8,< 1
6/6/2016,100XX S CALHOUN AVE,"[-87.5624699, 41.7133621]",4.10,5.10,9.80
7/16/2016,100XX S CALHOUN AVE,"[-87.5624699, 41.7133621]",See Follow-Up Sequential Sampling Table for Results,,
2/17/2019,100XX S CALIFORNIA AVE,"[-87.6919896, 41.71160070000001]",4.5,8,2
3/2/2019,100XX S CALIFORNIA AVE,"[-87.6919896, 41.71160070000001]",5.6,4,1.1
5/7/2019,100XX S CALIFORNIA AVE,"[-87.6919896, 41.71160070000001]",2.9,7,< 1
7/16/2019,100XX S CALUMET AVE,"[-87.6153909, 41.7126446]",4.7,6.1,2.6
8/2/2019,100XX S CALUMET AVE,"[-87.6153909, 41.7126446]",5.1,20,6.9
8/29/2019,100XX S CALUMET AVE,"[-87.6153909, 41.7126446]",12,7.1,4.4
12/17/2019,100XX S CALUMET AVE,"[-87.6153909, 41.7126446]",See Follow-Up Sequential Sampling Table for Results,,
10/13/2020,100XX S CALUMET AVE,"[-87.6153909, 41.7126446]",2.7,4.5,2.6
4/13/2022,100XX S CALUMET AVE ,"[-87.6153909, 41.7126446]",7,0.9,<0.5
3/10/2019,100XX S CAMPBELL AVE,"[-87.6845898, 41.71172139999999]",< 1,< 1,< 1
12/19/2018,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",2,2.2,1
8/2/2019,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",13,29,7.5
12/14/2019,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",See Follow-Up Sequential Sampling Table for Results,,
7/26/2020,100XX S Carpenter St,"[-87.6493268, 41.7121441]",85.0,11.0,4.7
9/29/2020,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",2.4,11,2.7
12/9/2020,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",2.2,3.3,1.2
12/22/2020,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",4.9,5,1.5
1/14/2021,100XX S CARPENTER ST,"[-87.6493268, 41.7121441]",2.5,4.6,1.2
7/14/2021,100XX S Carpenter St,"[-87.6493268, 41.7121441]",See Follow-Up Sequential Sampling Table for Results,,
12/16/2021,100XX S CARPENTER ST ,"[-87.6493268, 41.7121441]",2.7,4.1,1.3
5/14/2019,100XX S CHARLES ST,"[-87.6605249, 41.7113371]",< 1,< 1,< 1
4/4/2022,100XX S CHARLES ST ,"[-87.6605249, 41.7113371]",15,22,5.7
3/28/2019,100XX S CRANDON AVE,"[-87.56700029999999, 41.7134829]",3.2,3.7,1.2
8/15/2019,100XX S CRANDON AVE,"[-87.56700029999999, 41.7134829]",2.1,4.6,1.5
10/24/2019,100XX S CRANDON AVE,"[-87.56700029999999, 41.7134829]",2.3,4.1,1.5
7/4/2016,100XX S DAMEN AVE,"[-87.6724259, 41.7117844]",1.6,5.5,1.5
7/8/2016,100XX S DAMEN AVE,"[-87.6724259, 41.7117844]",2.5,4.8,1.9
7/30/2016,100XX S DAMEN AVE,"[-87.6724259, 41.7117844]",1.7,2.5,1.4
9/3/2019,100XX S DAMEN AVE,"[-87.6724259, 41.7117844]",1,1.9,1
12/7/2018,100XX S DR MARTIN LUTHER KING JR DR,"[-87.6139324, 41.7124795]",1.7,3.6,< 1
8/22/2019,100XX S DR MARTIN LUTHER KING JR DR,"[-87.6139324, 41.7124795]",2.4,1.7,1.5
5/16/2019,100XX S EMERALD AVE,"[-87.6422927, 41.7122269]",1.7,2.5,2.3
6/18/2018,100XX S EXCHANGE AVE,"[-87.5523236, 41.7133837]",5.2,3,2.8
10/19/2016,100XX S FAIRFIELD AVE,"[-87.6907986, 41.7116127]",2.4,2.3,1.7
2/13/2019,100XX S FAIRFIELD AVE,"[-87.6907986, 41.7116127]",3.9,7.7,< 1
3/11/2019,100XX S FAIRFIELD AVE,"[-87.6907986, 41.7116127]",1.9,5.5,< 1
5/10/2019,100XX S FOREST AVE,"[-87.6165874, 41.7126333]",5.2,12,2.1
8/7/2019,100XX S GREEN ST,"[-87.6444327, 41.7121928]",1.1,1.4,< 1
9/29/2016,100XX S HAMILTON AVE,"[-87.6757151, 41.7119298]",2.9,3,2.7
2/16/2019,100XX S HAMILTON AVE,"[-87.6757151, 41.7119298]",1.3,1.6,1.2
1/7/2022,100XX S HOXIE AVE ,"[-87.5612789, 41.7133769]",3.2,3.5,3.8
10/2/2016,100XX S HOYNE AVE,"[-87.67489230000001, 41.7117657]",1.3,2.3,< 1
10/25/2018,100XX S HOYNE AVE,"[-87.67489230000001, 41.7117657]",1.4,1.6,1.4
2/25/2019,100XX S HOYNE AVE,"[-87.67489230000001, 41.7117657]",1.6,5.1,1.1
8/7/2019,100XX S HOYNE AVE,"[-87.67489230000001, 41.7117657]",2.5,2.7,2.2
4/11/2021,100XX S HOYNE AVE,"[-87.67489230000001, 41.7117657]",1.1,< 1,< 1
