Date Sampled,Address,1st Draw,2-3 Minute,5 Minute
10/16/2019,1000XX S OAKLEY AVE,3,10,9.6
2/23/2019,100XX S ARTESIAN AVE,9.2,4.3,2.5
5/3/2019,100XX S ARTESIAN AVE,1.1,2.9,1.3
5/5/2019,100XX S ARTESIAN AVE,1.2,2.6,< 1
11/30/2021,100XX S AVENUE L ,3.6,16,4.6
5/23/2020,100XX S AVENUE M,3.9,2.5,1.7
4/23/2018,100XX S BELL AVE,1.7,3.4,1.6
3/6/2019,100XX S BELL AVE,1.4,1.9,< 1
4/28/2019,100XX S BELL AVE,23,4.3,<1
8/23/2019,100XX S BELL AVE,4,5.8,2.6
9/4/2019,100XX S BELL AVE,See Follow-Up Sequential Sampling Table for Results,,
9/26/2019,100XX S BELL AVE,2.3,5,3.6
11/7/2020,100XX S BELL AVE,1.8,1.8,< 1
6/6/2016,100XX S CALHOUN AVE,4.1,5.1,9.8
7/16/2016,100XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results,,
2/17/2019,100XX S CALIFORNIA AVE,4.5,8,2
3/2/2019,100XX S CALIFORNIA AVE,5.6,4,1.1
5/7/2019,100XX S CALIFORNIA AVE,2.9,7,< 1
7/16/2019,100XX S CALUMET AVE,4.7,6.1,2.6
8/2/2019,100XX S CALUMET AVE,5.1,20,6.9
8/29/2019,100XX S CALUMET AVE,12,7.1,4.4
12/17/2019,100XX S CALUMET AVE,See Follow-Up Sequential Sampling Table for Results,,
10/13/2020,100XX S CALUMET AVE,2.7,4.5,2.6
4/13/2022,100XX S CALUMET AVE ,7,0.9,<0.5
3/10/2019,100XX S CAMPBELL AVE,< 1,< 1,< 1
12/19/2018,100XX S CARPENTER ST,2,2.2,1
8/2/2019,100XX S CARPENTER ST,13,29,7.5
12/14/2019,100XX S CARPENTER ST,See Follow-Up Sequential Sampling Table for Results,,
7/26/2020,100XX S Carpenter St,85,11,4.7
9/29/2020,100XX S CARPENTER ST,2.4,11,2.7
12/9/2020,100XX S CARPENTER ST,2.2,3.3,1.2
12/22/2020,100XX S CARPENTER ST,4.9,5,1.5
1/14/2021,100XX S CARPENTER ST,2.5,4.6,1.2
7/14/2021,100XX S Carpenter St,See Follow-Up Sequential Sampling Table for Results,,
12/16/2021,100XX S CARPENTER ST ,2.7,4.1,1.3
5/14/2019,100XX S CHARLES ST,< 1,< 1,< 1
4/4/2022,100XX S CHARLES ST ,15,22,5.7
3/28/2019,100XX S CRANDON AVE,3.2,3.7,1.2
8/15/2019,100XX S CRANDON AVE,2.1,4.6,1.5
10/24/2019,100XX S CRANDON AVE,2.3,4.1,1.5
7/4/2016,100XX S DAMEN AVE,1.6,5.5,1.5
7/8/2016,100XX S DAMEN AVE,2.5,4.8,1.9
