"Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","numAddr","geometry"
"10/16/2019","1000XX S OAKLEY AVE","3","10","9.6","100000 S OAKLEY AVE",c(-77.5194223474282, 40.1121494299271)
"2/23/2019","100XX S ARTESIAN AVE","9.2","4.3","2.5","10000 S ARTESIAN AVE",c(-77.5194227842399, 40.1121494147023)
"5/3/2019","100XX S ARTESIAN AVE","1.1","2.9","1.3","10000 S ARTESIAN AVE",c(-77.5194227842399, 40.1121494147023)
"5/5/2019","100XX S ARTESIAN AVE","1.2","2.6","< 1","10000 S ARTESIAN AVE",c(-77.5194227842399, 40.1121494147023)
"11/30/2021","100XX S AVENUE L","3.6","16","4.6","10000 S AVENUE L",c(-77.5194227980654, 40.1121498173934)
"5/23/2020","100XX S AVENUE M","3.9","2.5","1.7","10000 S AVENUE M",c(-77.519422797939, 40.1121498140899)
"4/23/2018","100XX S BELL AVE","1.7","3.4","1.6","10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"3/6/2019","100XX S BELL AVE","1.4","1.9","< 1","10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"4/28/2019","100XX S BELL AVE","23","4.3","<1","10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"8/23/2019","100XX S BELL AVE","4","5.8","2.6","10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"9/4/2019","100XX S BELL AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"9/26/2019","100XX S BELL AVE","2.3","5","3.6","10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"11/7/2020","100XX S BELL AVE","1.8","1.8","< 1","10000 S BELL AVE",c(-77.5194227850531, 40.1121494277508)
"6/6/2016","100XX S CALHOUN AVE","4.1","5.1","9.8","10000 S CALHOUN AVE",c(-77.5194227958048, 40.1121497463443)
"7/16/2016","100XX S CALHOUN AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S CALHOUN AVE",c(-77.5194227958048, 40.1121497463443)
"2/17/2019","100XX S CALIFORNIA AVE","4.5","8","2","10000 S CALIFORNIA AVE",c(-77.5194227834158, 40.1121493915506)
"3/2/2019","100XX S CALIFORNIA AVE","5.6","4","1.1","10000 S CALIFORNIA AVE",c(-77.5194227834158, 40.1121493915506)
"5/7/2019","100XX S CALIFORNIA AVE","2.9","7","< 1","10000 S CALIFORNIA AVE",c(-77.5194227834158, 40.1121493915506)
"7/16/2019","100XX S CALUMET AVE","4.7","6.1","2.6","10000 S CALUMET AVE",c(-77.5194227907902, 40.1121496011206)
"8/2/2019","100XX S CALUMET AVE","5.1","20","6.9","10000 S CALUMET AVE",c(-77.5194227907902, 40.1121496011206)
"8/29/2019","100XX S CALUMET AVE","12","7.1","4.4","10000 S CALUMET AVE",c(-77.5194227907902, 40.1121496011206)
"12/17/2019","100XX S CALUMET AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S CALUMET AVE",c(-77.5194227907902, 40.1121496011206)
"10/13/2020","100XX S CALUMET AVE","2.7","4.5","2.6","10000 S CALUMET AVE",c(-77.5194227907902, 40.1121496011206)
"4/13/2022","100XX S CALUMET AVE","7","0.9","<0.5","10000 S CALUMET AVE",c(-77.5194227907902, 40.1121496011206)
"3/10/2019","100XX S CAMPBELL AVE","< 1","< 1","< 1","10000 S CAMPBELL AVE",c(-77.5194227840929, 40.1121494111472)
"12/19/2018","100XX S CARPENTER ST","2","2.2","1","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"8/2/2019","100XX S CARPENTER ST","13","29","7.5","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"12/14/2019","100XX S CARPENTER ST","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"7/26/2020","100XX S Carpenter St","85","11","4.7","10000 S Carpenter St",c(-77.5194227876638, 40.1121495080077)
"9/29/2020","100XX S CARPENTER ST","2.4","11","2.7","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"12/9/2020","100XX S CARPENTER ST","2.2","3.3","1.2","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"12/22/2020","100XX S CARPENTER ST","4.9","5","1.5","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"1/14/2021","100XX S CARPENTER ST","2.5","4.6","1.2","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"7/14/2021","100XX S Carpenter St","See Follow-Up Sequential Sampling Table for Results",NA,NA,"10000 S Carpenter St",c(-77.5194227876638, 40.1121495080077)
"12/16/2021","100XX S CARPENTER ST","2.7","4.1","1.3","10000 S CARPENTER ST",c(-77.5194227876638, 40.1121495080077)
"5/14/2019","100XX S CHARLES ST","< 1","< 1","< 1","10000 S CHARLES ST",c(-77.5194227894806, 40.1121494771153)
"4/4/2022","100XX S CHARLES ST","15","22","5.7","10000 S CHARLES ST",c(-77.5194227894806, 40.1121494771153)
"3/28/2019","100XX S CRANDON AVE","3.2","3.7","1.2","10000 S CRANDON AVE",c(-77.5194227967028, 40.1121497336231)
"8/15/2019","100XX S CRANDON AVE","2.1","4.6","1.5","10000 S CRANDON AVE",c(-77.5194227967028, 40.1121497336231)
"10/24/2019","100XX S CRANDON AVE","2.3","4.1","1.5","10000 S CRANDON AVE",c(-77.5194227967028, 40.1121497336231)
"7/4/2016","100XX S DAMEN AVE","1.6","5.5","1.5","10000 S DAMEN AVE",c(-77.5194227855789, 40.1121494445528)
"7/8/2016","100XX S DAMEN AVE","2.5","4.8","1.9","10000 S DAMEN AVE",c(-77.5194227855789, 40.1121494445528)
"7/30/2016","100XX S DAMEN AVE","1.7","2.5","1.4","10000 S DAMEN AVE",c(-77.5194227855789, 40.1121494445528)
"9/3/2019","100XX S DAMEN AVE","1","1.9","1","10000 S DAMEN AVE",c(-77.5194227855789, 40.1121494445528)
"12/7/2018","100XX S DR MARTIN LUTHER KING JR DR","1.7","3.6","< 1","10000 S DR MARTIN LUTHER KING JR DR",c(-77.5195843716727, 40.1123852974786)
"8/22/2019","100XX S DR MARTIN LUTHER KING JR DR","2.4","1.7","1.5","10000 S DR MARTIN LUTHER KING JR DR",c(-77.5195843716727, 40.1123852974786)
"5/16/2019","100XX S EMERALD AVE","1.7","2.5","2.3","10000 S EMERALD AVE",c(-77.5194227882462, 40.1121495285039)
"6/18/2018","100XX S EXCHANGE AVE","5.2","3","2.8","10000 S EXCHANGE AVE",c(-77.5194227975878, 40.1121497738977)
"10/19/2016","100XX S FAIRFIELD AVE","2.4","2.3","1.7","10000 S FAIRFIELD AVE",c(-77.5194227835523, 40.1121493942362)
"2/13/2019","100XX S FAIRFIELD AVE","3.9","7.7","< 1","10000 S FAIRFIELD AVE",c(-77.5194227835523, 40.1121493942362)
"3/11/2019","100XX S FAIRFIELD AVE","1.9","5.5","< 1","10000 S FAIRFIELD AVE",c(-77.5194227835523, 40.1121493942362)
"5/10/2019","100XX S FOREST AVE","5.2","12","2.1","10000 S FOREST AVE",c(-77.5194227906866, 40.1121495979087)
"8/7/2019","100XX S GREEN ST","1.1","1.4","< 1","10000 S GREEN ST",c(-77.5194227881551, 40.1121495214822)
"9/29/2016","100XX S HAMILTON AVE","2.9","3","2.7","10000 S HAMILTON AVE",c(-77.5194227850505, 40.1121494352799)
"2/16/2019","100XX S HAMILTON AVE","1.3","1.6","1.2","10000 S HAMILTON AVE",c(-77.5194227850505, 40.1121494352799)
