Date Sampled,Address,1st Draw,2-3 Minute,5 Minute,numAddr,geocode
10/16/2019,1000XX S OAKLEY AVE,3,10,9.6,100000 S OAKLEY AVE,"[41.8340431, -87.6827085]"
2/23/2019,100XX S ARTESIAN AVE,9.2,4.3,2.5,10000 S ARTESIAN AVE,"[41.71173145, -87.68334290382131]"
5/3/2019,100XX S ARTESIAN AVE,1.1,2.9,1.3,10000 S ARTESIAN AVE,"[41.71173145, -87.68334290382131]"
5/5/2019,100XX S ARTESIAN AVE,1.2,2.6,< 1,10000 S ARTESIAN AVE,"[41.71173145, -87.68334290382131]"
11/30/2021,100XX S AVENUE L ,3.6,16,4.6,10000 S AVENUE L ,"[41.71376, -87.536597]"
5/23/2020,100XX S AVENUE M,3.9,2.5,1.7,10000 S AVENUE M,"[41.713747, -87.537801]"
4/23/2018,100XX S BELL AVE,1.7,3.4,1.6,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
3/6/2019,100XX S BELL AVE,1.4,1.9,< 1,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
4/28/2019,100XX S BELL AVE,23,4.3,<1,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
8/23/2019,100XX S BELL AVE,4,5.8,2.6,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
9/4/2019,100XX S BELL AVE,See Follow-Up Sequential Sampling Table for Results,,,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
9/26/2019,100XX S BELL AVE,2.3,5,3.6,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
11/7/2020,100XX S BELL AVE,1.8,1.8,< 1,10000 S BELL AVE,"[41.7116951, -87.67858377090407]"
6/6/2016,100XX S CALHOUN AVE,4.1,5.1,9.8,10000 S CALHOUN AVE,"[41.713352150000006, -87.56248621885456]"
7/16/2016,100XX S CALHOUN AVE,See Follow-Up Sequential Sampling Table for Results,,,10000 S CALHOUN AVE,"[41.713352150000006, -87.56248621885456]"
2/17/2019,100XX S CALIFORNIA AVE,4.5,8,2,10000 S CALIFORNIA AVE,"[41.711623, -87.69178]"
3/2/2019,100XX S CALIFORNIA AVE,5.6,4,1.1,10000 S CALIFORNIA AVE,"[41.711623, -87.69178]"
